,Actual,Predicted,Forecast
2001-02-01,97.1717,100.66576452888363,
2001-03-01,92.8283,93.8348360774748,
2001-04-01,82.915,85.93857318945403,
2001-05-01,82.5465,83.66825438932916,
2001-06-01,90.3955,90.03343563241668,
2001-07-01,96.074,96.96334262066594,
2001-08-01,99.5534,96.9949295865093,
2001-09-01,88.281,91.57854692910938,
2001-10-01,82.686,82.28976533821788,
2001-11-01,82.9319,87.29854084075156,
2001-12-01,93.0381,95.41735924501931,
2002-01-01,102.9955,101.47862144661275,
2002-02-01,95.2075,93.775393412862,
2002-03-01,93.2556,89.76871317323636,
2002-04-01,85.795,83.66447898269556,
2002-05-01,85.2351,84.76970306941224,
2002-06-01,93.1896,92.17187609576321,
2002-07-01,102.393,99.57824507203843,
2002-08-01,101.6293,103.07672814134158,
2002-09-01,93.3089,92.78133531313394,
2002-10-01,86.9002,87.92370932145488,
2002-11-01,88.5749,89.52495613409636,
2002-12-01,100.8003,99.99887982017253,
2003-01-01,110.1807,108.77554196828626,
2003-02-01,103.8413,101.16002750337604,
2003-03-01,94.5532,99.34857541857508,
2003-04-01,85.062,87.19891052338085,
2003-05-01,85.4653,86.67772819002906,
2003-06-01,91.0761,93.00114607933031,
2003-07-01,102.22,98.71709242121489,
2003-08-01,104.4682,102.45822430037889,
2003-09-01,92.9135,94.69392383721075,
2003-10-01,86.5047,87.19037187009987,
2003-11-01,88.5735,89.90754686542327,
2003-12-01,103.5428,100.25647006170797,
2004-01-01,113.7226,111.09796627317064,
2004-02-01,106.159,104.5549801054401,
2004-03-01,95.4029,100.08537453433621,
2004-04-01,86.7233,87.97219435777201,
2004-05-01,89.0302,88.12994480890859,
2004-06-01,95.5045,95.22582204423708,
2004-07-01,101.7948,103.38571221642758,
2004-08-01,100.2025,103.69149665322259,
2004-09-01,94.024,92.09570361498479,
2004-10-01,87.5262,87.8321852507129,
2004-11-01,89.6144,89.16573519260822,
2004-12-01,105.7263,102.31250460411364,
2005-01-01,111.1614,113.74027162790341,
2005-02-01,101.7795,103.22423159584822,
2005-03-01,98.9565,96.17796742701093,
2005-04-01,86.4776,89.76160883989581,
2005-05-01,87.2234,87.05095234127947,
2005-06-01,99.5076,94.99432173789675,
2005-07-01,108.3501,105.68907641837717,
2005-08-01,109.4862,106.88381728212518,
2005-09-01,99.1155,100.71840097705783,
2005-10-01,89.7567,93.17363124808936,
2005-11-01,90.4587,93.42881833236567,
2005-12-01,108.2257,105.16244192811854,
2006-01-01,104.4724,115.2571036880677,
2006-02-01,101.5196,97.81910123451325,
2006-03-01,98.4017,97.89648247830519,
2006-04-01,87.5093,86.61039324896024,
2006-05-01,90.0222,87.78324182740381,
2006-06-01,100.5244,98.34034427630245,
2006-07-01,110.9503,107.57379177964953,
2006-08-01,111.5192,110.54886944149646,
2006-09-01,95.7632,101.87866989551615,
2006-10-01,90.3738,90.24914988112536,
2006-11-01,92.3566,93.55322428291791,
2006-12-01,103.066,106.4648526108443,
2007-01-01,112.0576,108.24072433273247,
2007-02-01,111.8399,105.36237260762279,
2007-03-01,99.1925,104.18860707091568,
2007-04-01,90.8177,89.47361070190523,
2007-05-01,92.0587,93.69566637992322,
2007-06-01,100.9676,100.4789001875464,
2007-07-01,107.5686,109.6773981578514,
2007-08-01,114.1036,108.72073071991777,
2007-09-01,101.5316,102.16884208369275,
2007-10-01,93.0068,93.85506642153763,
2007-11-01,93.9126,95.88442114269697,
2007-12-01,106.7528,107.89146329685616,
2008-01-01,114.8331,113.42856187114582,
2008-02-01,108.2353,109.64327963655408,
2008-03-01,100.4386,100.80272768966316,
2008-04-01,90.9944,91.60915993227228,
2008-05-01,91.2348,92.22075901423628,
2008-06-01,103.9581,100.21424752653687,
2008-07-01,110.7631,111.15605911281449,
2008-08-01,107.5665,112.47764162263672,
2008-09-01,97.7183,98.08804749599116,
2008-10-01,90.9979,91.70030339645683,
2008-11-01,93.8057,92.15878626145721,
2008-12-01,109.4221,106.63615311677188,
2009-01-01,116.8316,115.19605620248709,
2009-02-01,104.4202,110.29236194888483,
2009-03-01,97.8529,98.73234465894882,
2009-04-01,88.1973,90.00558291283014,
2009-05-01,87.5366,88.9134584099599,
2009-06-01,97.2387,97.93279472193663,
2009-07-01,103.9086,105.39076472041623,
2009-08-01,105.7486,104.65137137622551,
2009-09-01,94.8823,95.00230825225069,
2009-10-01,89.2977,87.59802899638566,
2009-11-01,89.3585,91.06801934977436,
2009-12-01,110.6844,103.50418444054124,
2010-01-01,119.0166,116.21213194603557,
2010-02-01,110.533,108.93857880565858,
2010-03-01,98.2672,103.39159594721929,
2010-04-01,86.3,90.23987865943964,
2010-05-01,90.8364,88.72619901358637,
2010-06-01,104.3538,100.15985669357156,
2010-07-01,112.8066,109.74428370467929,
2010-08-01,112.9014,112.66253109693226,
2010-09-01,100.1209,102.09589608160152,
2010-10-01,88.9251,94.34312753187326,
2010-11-01,92.775,91.97926173888388,
2010-12-01,114.3266,109.59254490598124,
2011-01-01,119.488,119.58074821326434,
2011-02-01,107.3753,110.92661473142309,
2011-03-01,99.1028,100.41546899500631,
2011-04-01,89.3583,89.91516600690994,
2011-05-01,90.0698,90.9065305122883,
2011-06-01,102.8204,101.07854280115215,
2011-07-01,114.7068,110.45186024656647,
2011-08-01,113.5958,113.95631595802978,
2011-09-01,99.4712,101.563534635147,
2011-10-01,90.3566,92.56838667177308,
2011-11-01,93.8095,93.58384707797727,
2011-12-01,107.3312,111.28550398346724,
2012-01-01,111.9646,114.49654955643669,
2012-02-01,103.3679,104.50088310156522,
2012-03-01,93.5772,95.52905217883477,
2012-04-01,87.5566,83.8569427274339,
2012-05-01,92.7603,88.22869022413573,
2012-06-01,101.14,102.00795748150061,
2012-07-01,113.0357,109.83873706115706,
2012-08-01,109.8601,113.31853365990919,
2012-09-01,96.7431,97.77866586962963,
2012-10-01,90.3805,89.71279300772227,
2012-11-01,94.3417,92.69763511300236,
2012-12-01,105.2722,109.46024082723892,
2013-01-01,115.501,112.14306872895285,
2013-02-01,106.734,107.16477058063315,
2013-03-01,102.9948,96.92146335858911,
2013-04-01,91.0092,93.02751015343573,
2013-05-01,90.9634,92.99479112320428,
2013-06-01,100.6957,102.71975030454783,
2013-07-01,110.148,111.23572699255242,
2013-08-01,108.1756,109.60813143426522,
2013-09-01,99.2809,96.23485026123508,
2013-10-01,91.7871,91.22720006487606,
2013-11-01,97.2853,93.76049786984713,
2013-12-01,113.4732,111.1929840312934,
2014-01-01,124.2549,119.81484094538314,
2014-02-01,112.8811,114.31740159002852,
2014-03-01,104.7631,105.56829130308392,
2014-04-01,90.2867,95.7567510162658,
2014-05-01,92.134,93.19300789905098,
2014-06-01,101.878,103.4886513361881,
2014-07-01,108.5497,111.39569947726665,
